replicate,method,CL,V,ka,om_CL,om_V,om_ka,sigma,ofv,converged,n_steps,cpu_secs,wall_secs,wall_secs_subprocess_total,truth_CL,truth_V,truth_ka,truth_om_CL,truth_om_V,truth_om_ka,truth_sigma
2,saem,2.9991390271743925,30.533946226126663,1.1914829984768824,0.2905778502098007,0.1543825461482925,0.3952291793038731,0.2086442112490208,404.5102411152898,,,12.571000000000002,14.272,16.338288068771362,3.0,30.0,1.2,0.3,0.2,0.4,0.2
3,vi_K1,2.8594692507663355,30.427625545059016,1.159326841479136,0.2680664477067117,0.2137504930841272,0.22004235765150107,0.2258669412429191,381.5598181744429,True,13000.0,4.794648999999993,4.833768844604492,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
3,vi_K64,2.738454276792184,30.570784991787054,1.1282418013257995,0.2824841222095973,0.22838000135278352,0.36034291376006206,0.20434100047175507,363.6647128141469,True,9500.0,24.001099999999994,18.404330015182495,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
3,foce,2.8658320663716963,30.159062628805795,1.1333118704702492,0.2718748302761388,0.2294593177849097,0.3605459809324669,0.2036612984239536,-961.11494663182,,,10.895,13.111,14.94559907913208,3.0,30.0,1.2,0.3,0.2,0.4,0.2
3,saem,2.840159599127128,29.895458340427293,1.1320694808176588,0.2734687917734459,0.230878562647966,0.3684236643166724,0.2031595436905867,414.836896500374,,,13.047,14.863,17.100492238998413,3.0,30.0,1.2,0.3,0.2,0.4,0.2
4,vi_K1,2.980101259683741,31.33871242750265,1.2018654056132543,0.3004390345183672,0.16633874036024907,0.3057942636508149,0.21146832372447288,332.72146837460457,True,13750.0,5.086125999999993,5.140171051025391,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
4,vi_K64,2.932053193854768,31.086886118440646,1.1605683549365922,0.29747070372576373,0.18877457533790284,0.3835220917433587,0.19542278361725263,319.73904904160565,True,8750.0,23.132613000000006,18.351928234100342,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
4,foce,2.991679762140291,31.008476844666628,1.1739642935290369,0.3005794545952794,0.1922436263987864,0.3817044615820746,0.1942387371712185,-1002.5433223415874,,,11.134,13.491,15.452882289886475,3.0,30.0,1.2,0.3,0.2,0.4,0.2
4,saem,2.9694075553696178,30.839091074651236,1.1769941979122205,0.3023238934706838,0.1920961136377598,0.3770310186425697,0.195204561341833,365.108166274689,,,12.691000000000004,14.328,16.33316469192505,3.0,30.0,1.2,0.3,0.2,0.4,0.2
5,vi_K1,2.9868145543485745,30.43211975201501,1.2880049718559239,0.2848101561699214,0.22004961458053332,0.25809702683103003,0.20863595886266606,340.5701661439203,True,19000.0,6.773580999999993,6.82931113243103,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
5,vi_K64,2.9054891442637576,30.374866633750468,1.262506467992533,0.28820291646293245,0.22646605984546014,0.4004329002724336,0.1927395852708471,326.0668286780982,True,9750.0,24.75327,18.998425245285034,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
5,foce,2.986533549318911,30.231887766610075,1.2594386976474394,0.2855686070838459,0.227746575277791,0.3745200944102196,0.191540766620041,-997.0631134168456,,,11.874,13.981000000000002,15.882866859436035,3.0,30.0,1.2,0.3,0.2,0.4,0.2
5,saem,2.9667080368594325,30.079296113227663,1.268967586395993,0.2867352781904512,0.226478874014561,0.3817881581432235,0.1918542261340506,370.10668809108233,,,13.177,15.259,17.45537304878235,3.0,30.0,1.2,0.3,0.2,0.4,0.2
6,vi_K1,2.860200582769763,30.687236421910274,1.2367332224369176,0.2419082573663306,0.19967837473973077,0.3001680992836181,0.2138982320787669,319.7306228377745,True,15750.0,5.846907999999985,5.927013874053955,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
6,vi_K64,2.7938326294929623,30.84580341683685,1.2040996717198544,0.24926197135023492,0.21227473561626503,0.4106598301795391,0.1979923456041903,309.029092892874,True,8500.0,22.16901899999999,17.471489667892456,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
6,foce,2.8793131727224575,30.423399666057353,1.2047149154265306,0.2441721359396384,0.2146689528356761,0.3914845378103172,0.1976208161190475,-1014.2359857813708,,,11.677,13.968,16.110172986984253,3.0,30.0,1.2,0.3,0.2,0.4,0.2
6,saem,2.857050116021119,30.196476930891595,1.2091877377855331,0.2458943677927783,0.2143205546088878,0.4022007716697433,0.1980842725780197,358.2748040641691,,,12.858,14.649,16.694783926010132,3.0,30.0,1.2,0.3,0.2,0.4,0.2
7,vi_K1,3.059224232574836,31.314502672365798,1.222007646763351,0.31857476210820107,0.20819853772407923,0.26961332718457576,0.2085487663812431,354.3988151114788,True,11500.0,4.134928000000002,4.150937795639038,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
7,vi_K64,2.9794864906464156,31.00030698587473,1.193533129778662,0.32573583815708673,0.22068853805984914,0.35540638845532857,0.18900689547882074,338.8315405740565,True,2750.0,7.00258199999999,5.330080986022949,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
7,foce,3.0538560027919908,31.231317961182437,1.2054330608545425,0.3266902425658835,0.2199796114017037,0.3632994177069557,0.1903619912203448,-983.795980125741,,,11.093,13.049,14.888743162155151,3.0,30.0,1.2,0.3,0.2,0.4,0.2
7,saem,3.0316410240476195,31.032517628707875,1.2095185805400877,0.3284779262517029,0.217991474203217,0.368150237980889,0.1909197839610683,381.87931159266327,,,12.794,14.64,16.762662887573242,3.0,30.0,1.2,0.3,0.2,0.4,0.2
8,vi_K1,3.1503485579782637,28.22261739884041,1.114682532263028,0.303081532129183,0.040328035114477925,0.498951956751228,0.21828029470027402,384.7270147730635,True,11500.0,4.158433000000002,4.178195953369141,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
8,vi_K64,3.0914935376263206,28.74356599599663,1.1182549034836011,0.3006909239623158,0.15707744599084517,0.44035401910375427,0.1954656029807948,344.6627392510459,True,10500.0,26.918941999999987,20.859398126602173,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
8,foce,3.0954336707373007,28.706107226932296,1.1191218429920486,0.2959629256817193,0.1616561511889719,0.4459037933376299,0.1948276459562079,-978.5065531197002,,,12.616,15.013,17.074169158935547,3.0,30.0,1.2,0.3,0.2,0.4,0.2
8,saem,3.0762724006041617,28.536705663563072,1.1261608517392598,0.2981049841789607,0.1584984999393817,0.4538710301252596,0.19495917032529,387.59807703373326,,,12.633,14.277,16.290252208709717,3.0,30.0,1.2,0.3,0.2,0.4,0.2
9,vi_K1,2.9860882805363604,30.89927135412569,1.2333388703754287,0.2979869253462555,0.18167634020263387,0.2834742276227701,0.20518350785558198,310.0971224768297,True,19500.0,6.987967999999995,7.076811075210571,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
9,vi_K64,3.009453865263711,30.63961367804383,1.2141554130789576,0.30361906389764104,0.200106404253581,0.37413609412852117,0.18727023524083478,297.12277058603945,True,2500.0,6.3477069999999856,4.837649822235107,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
9,foce,2.9836119333034263,30.67851799659668,1.2060347732825454,0.3038551159356827,0.2051977872913551,0.3714584237773411,0.1871517316834891,-1025.695262429852,,,11.785000000000002,13.933,15.738674879074097,3.0,30.0,1.2,0.3,0.2,0.4,0.2
9,saem,2.9622817366770193,30.505112830761604,1.2142570320991322,0.3064142653256654,0.2055178775776581,0.384118574106526,0.1870056832846424,343.04115390152447,,,12.532,14.188,16.21152901649475,3.0,30.0,1.2,0.3,0.2,0.4,0.2
10,vi_K1,3.0810052782993296,28.609427909783793,1.21865676091822,0.27213717779123064,0.16072997188046553,0.360001510771957,0.21730344099939278,382.8251936873741,True,17250.0,6.159322000000003,6.215068101882935,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
10,vi_K64,3.0867243831620588,28.017819446972208,1.2203123566692156,0.27420056918799235,0.20005381146402684,0.41337960462822027,0.19568977837586388,368.20422550074136,True,3500.0,8.871983999999998,6.783914089202881,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
10,foce,3.081791232919645,28.512224184068568,1.1869127223602334,0.2756032406957331,0.2063160557152695,0.4035280622191732,0.1988936791486426,-954.275817999026,,,10.853,12.999,14.78687572479248,3.0,30.0,1.2,0.3,0.2,0.4,0.2
10,saem,3.0626941873503304,28.36323602163015,1.19550956079617,0.2780694731414139,0.2058767941259217,0.4099584407367039,0.1989248298351437,414.21371167531765,,,12.569,14.222,16.22818398475647,3.0,30.0,1.2,0.3,0.2,0.4,0.2
11,vi_K1,2.8285645303016054,29.744916538793834,1.1661177206503144,0.30427613466449177,0.14554604031123525,0.41157120456415097,0.19710890619409036,296.68502848003016,True,19750.0,7.0569659999999885,7.130604028701782,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
11,vi_K64,2.7456901394097515,29.74944595377829,1.1440297711893241,0.30870490393380773,0.19178018668877106,0.4495450793083389,0.18427078030887556,288.68391336729735,True,7750.0,19.58416299999999,15.021152019500732,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
11,foce,2.8456176205896133,29.63202501554036,1.1359076486714,0.30454068607663,0.1892283735109675,0.4423893586006241,0.1822388648202743,-1036.4202182883491,,,11.511,13.420000000000002,15.343196868896484,3.0,30.0,1.2,0.3,0.2,0.4,0.2
11,saem,2.827933840917326,29.502994235983323,1.1448283950883824,0.3056137258839349,0.1920279370014186,0.4435607053202283,0.18284091656016,333.379507286837,,,12.582,13.97,16.22674798965454,3.0,30.0,1.2,0.3,0.2,0.4,0.2
12,vi_K1,3.06382459359209,30.98710102953291,1.3111888345435023,0.28918657797516106,0.17824903350035753,0.37262064453718813,0.21373935196232408,376.54923056504595,True,8750.0,3.202916000000016,3.2188870906829834,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
12,vi_K64,2.9604167017136698,30.92772756031539,1.2735881777787597,0.2927039717889985,0.20653348766337976,0.43663131842471054,0.1998527303178564,365.9167983831045,True,10500.0,26.521693000000027,20.3793842792511,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
12,foce,3.080805388414125,30.399878508871172,1.2780685672922347,0.2864345969178332,0.2045793337042497,0.4322262541817673,0.1976225332371807,-960.8090706469618,,,11.658,13.788,15.72039794921875,3.0,30.0,1.2,0.3,0.2,0.4,0.2
12,saem,3.0570666358183343,30.20280716540053,1.2880690669928212,0.2884572872351285,0.2055776956641129,0.4390151282195413,0.1974965999612756,409.4779651157869,,,12.49,13.972,16.00408911705017,3.0,30.0,1.2,0.3,0.2,0.4,0.2
13,vi_K1,2.9530554391366337,30.801967608380174,1.2013176482362624,0.2843514058395461,0.17451747160965284,0.24976712061937645,0.2127840632293676,317.6630066002141,True,11000.0,4.012224000000003,4.0430588722229,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
13,vi_K64,2.863113146775405,30.648433267964197,1.1693869667958032,0.29782779077121463,0.1880276843774815,0.34599376416187383,0.19541738817597915,307.1768085607662,True,7500.0,18.919096000000025,14.503662109375,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
13,foce,2.9665886392356215,30.289677965355587,1.175960005623927,0.2901572599904539,0.1926901122182432,0.3340937994854384,0.1956569888677234,-1018.3601159905904,,,11.453,13.311,15.174057006835938,3.0,30.0,1.2,0.3,0.2,0.4,0.2
13,saem,2.9472425631254517,30.129492233230373,1.1819736099530542,0.2913454243911131,0.1918934982398998,0.341407630204318,0.1958603118193368,352.6912787339611,,,12.492,13.874,15.908945083618164,3.0,30.0,1.2,0.3,0.2,0.4,0.2
14,vi_K1,2.925393212223989,31.10273129805982,1.3372977570925908,0.287266592797847,0.15796675769873517,0.4255933765957796,0.2193529407310309,389.81511371166386,True,5250.0,1.9932549999999765,2.0032339096069336,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
14,vi_K64,2.8808914968217656,30.794179859482824,1.282238145464756,0.2993615511306475,0.19102011383175674,0.47663053824060525,0.20270402152051323,377.83525735281415,True,3250.0,8.253273999999976,6.3204381465911865,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
14,foce,2.9177062790092942,30.882250090660072,1.3079783732056174,0.2977773172670029,0.2000836942335803,0.4602666303340262,0.2016891447626897,-946.0766711258522,,,11.121,12.995,14.81651496887207,3.0,30.0,1.2,0.3,0.2,0.4,0.2
14,saem,2.8984296563975422,30.700632707915243,1.321601115417714,0.2999210940288355,0.1962356525118149,0.4730713097988926,0.2021685579771304,425.3670012814441,,,12.595999999999998,14.042,16.139477968215942,3.0,30.0,1.2,0.3,0.2,0.4,0.2
15,vi_K1,3.010638747392384,31.990446949599527,1.2549984548470472,0.29160492483999867,0.1763926442579462,0.375439628028051,0.20478885948933395,330.5852018772157,True,9000.0,3.290454000000011,3.303536891937256,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
15,vi_K64,2.8928966943438823,32.11430327923583,1.2160661283377,0.2982026232747554,0.19926347117575666,0.44873479125501864,0.19137683732891114,320.2984578558362,True,8750.0,22.06876900000003,16.89445185661316,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
15,foce,2.997288091528975,31.568758646460907,1.2238358001953131,0.2959129774480727,0.2030918405667383,0.4371554605073195,0.1893250147362827,-1004.7466660619772,,,10.934,12.827,14.712249755859375,3.0,30.0,1.2,0.3,0.2,0.4,0.2
15,saem,2.9752288074153532,31.39700920599847,1.2295909058238332,0.297510823360523,0.203002067200208,0.4334255694430154,0.1906842510206753,365.5619404487488,,,12.888000000000002,14.527,16.68945622444153,3.0,30.0,1.2,0.3,0.2,0.4,0.2
16,vi_K1,2.8945304230444515,31.121444227463794,1.1815190202688712,0.333101208571808,0.19392543464761958,0.19792451635341915,0.21504745684259388,353.5400509735131,True,20000.0,7.415972999999951,7.61341118812561,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
16,vi_K64,2.8916520873352276,30.77104087950974,1.1572831384237494,0.3322325631294109,0.18742205728964587,0.3422367228803119,0.19822507272218157,335.96392694480403,True,3750.0,9.777569000000028,7.718265056610107,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
16,foce,2.913962256929253,30.844574953578583,1.1654389509778462,0.3307473349794883,0.1930258706899119,0.3369803042826104,0.1976713768808968,-986.4200127737012,,,11.151000000000002,13.19,15.41274118423462,3.0,30.0,1.2,0.3,0.2,0.4,0.2
16,saem,2.8919809803609926,30.626459754606564,1.1661775034727344,0.3316058654002173,0.1911369729924479,0.3446236964132315,0.197376139780065,385.46717882570465,,,12.646,14.164,16.358890056610107,3.0,30.0,1.2,0.3,0.2,0.4,0.2
17,vi_K1,3.0641964333960985,30.556360076158285,1.1649498342677895,0.29316170947633613,0.16036850621928805,0.31038224428057815,0.2133417518833076,351.2346027647666,True,13000.0,4.69691899999998,4.733556032180786,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
17,vi_K64,2.9703998402333136,30.583254450321693,1.1393629332156812,0.304438218721643,0.19789481845331064,0.40356309299280396,0.19570874515960773,336.9242730335412,True,4250.0,10.814743000000021,8.294361114501953,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
17,foce,3.0726381837712835,30.442228726909494,1.1330416275544015,0.2959155461599014,0.1984296143973686,0.3834036024175209,0.1948469053847599,-985.5378772007213,,,10.491,12.343,14.191262006759644,3.0,30.0,1.2,0.3,0.2,0.4,0.2
17,saem,3.050414016309681,30.19998966267525,1.1344228779167933,0.2965371667419298,0.196763840032984,0.3914798863492799,0.1952202108133864,383.2371413832016,,,12.609,14.031,16.077571153640747,3.0,30.0,1.2,0.3,0.2,0.4,0.2
18,vi_K1,2.9619999093859373,30.80043288336058,1.1304883681604287,0.26247958553014655,0.16677217002202344,0.2860317510794655,0.2100209472243037,298.9945376672293,True,8000.0,2.93327400000004,2.9424712657928467,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
18,vi_K64,2.9400535414559834,30.2876917962165,1.0932489387633961,0.2659263779746005,0.20384656949926297,0.3672095962713424,0.19097823743512368,284.48873275668495,True,3250.0,8.44408999999996,6.524868965148926,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
18,foce,2.969590822857194,30.218065180022712,1.1063032662969847,0.2656215098405353,0.2034834286265305,0.3661189095447389,0.1898668089634456,-1040.4385675246413,,,10.991,12.931,14.801516056060791,3.0,30.0,1.2,0.3,0.2,0.4,0.2
18,saem,2.949926211390227,30.0536184951018,1.111462109891809,0.2679782890925993,0.2031044895768406,0.3737699333516607,0.1893507413694075,334.33989891424017,,,12.654,14.115,16.217017889022827,3.0,30.0,1.2,0.3,0.2,0.4,0.2
19,vi_K1,3.08757430508969,30.357881698513907,1.174320056344333,0.31352607518787484,0.2580943302139925,0.10604024534069179,0.2319299733237632,461.8452144649168,True,20250.0,7.287090000000035,7.374572038650513,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
19,vi_K64,2.999343815859365,30.383520748054075,1.1553452597240548,0.3223245257307465,0.25919303340930605,0.33472722238361263,0.20680624908668174,435.28506496179904,True,6500.0,16.390679000000034,12.560585975646973,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
19,foce,3.0907474089166125,30.072737634428663,1.1721887487918543,0.3172778414355549,0.2578111342667435,0.3455738416748938,0.2047027057229496,-889.2019991717342,,,10.374,12.194,14.142559289932251,3.0,30.0,1.2,0.3,0.2,0.4,0.2
19,saem,3.065980286077732,29.909331810491334,1.178412705392938,0.3215066288117225,0.2573361533430506,0.3520272235360825,0.2051172892136372,476.01914698666224,,,12.578,13.951,16.13809323310852,3.0,30.0,1.2,0.3,0.2,0.4,0.2
