replicate,seed,ll_reduced,ll_full,dofv,converged_reduced,converged_full,n_steps_reduced,n_steps_full,secs,CL_reduced,V_reduced,ka_reduced,om_CL_reduced,om_V_reduced,sigma_reduced,CL_full,V_full,ka_full,om_CL_full,om_V_full,om_ka_full,sigma_full,sigma_diff
10,5010,-138.97431808114396,-139.12628539008105,-0.30393461787417664,True,True,2500,10250,48.26311492919922,3.0579816408432166,30.083054500086824,1.189007493879316,0.308486078950327,0.22602864768522488,0.19890727342764283,3.0489977834363895,30.454387751271963,1.20366795735963,0.31246662512221385,0.22906346784874887,0.011588567869071517,0.20015888793091038,0.0012516145032675507
11,5011,-115.45684255563458,-114.81182188360512,1.2900413440589205,True,True,2000,11750,51.631903886795044,3.0106822051560553,28.542972733465014,1.154089624927107,0.29555345736143934,0.19250867212222156,0.20003659371038426,2.9097548330802194,28.594317699749862,1.1555132672036887,0.29724097796911253,0.19287471986679197,0.04444749211011493,0.1984373359622799,-0.0015992577481043768
12,5012,-79.66138392793879,-80.03668192325932,-0.7505959906410737,True,True,2750,9250,42.9065260887146,2.8861181005969847,31.087263113469348,1.1797958908045114,0.28871683621455285,0.18546450617396712,0.1908022882148282,2.902838215772605,30.592667674745496,1.1721059525282889,0.2882498688027542,0.1879396687972117,0.009925406099751075,0.1922783845571393,0.0014760963423111062
13,5013,-141.84496418217543,-141.5543236902877,0.5812809837754571,True,True,2250,9750,42.68526601791382,3.0894913672812625,29.84457137966864,1.2002855592903863,0.3249595310176278,0.20075803748665386,0.2036647856246965,3.0075774177118686,30.1048056024512,1.206361307276544,0.3226128111523327,0.19698341924583643,0.010070925274332607,0.20590433382740855,0.0022395482027120495
14,5014,-121.13326856928782,-120.6701329326803,0.9262712732150362,True,True,5500,14250,68.35897898674011,3.0534335517759055,30.11256218010258,1.2437411653351182,0.32462224186495214,0.20619290661999035,0.1945892993959388,3.0633398191102983,30.251499341331836,1.2328493214578158,0.32043449657367656,0.20467384734372482,0.015964124569887883,0.19517678107657438,0.0005874816806355765
15,5015,-84.56293738907473,-84.46885599365854,0.1881627908323935,True,True,2250,20000,79.38260388374329,3.1167938368915067,29.40332365640243,1.1732379660133718,0.2772349579399882,0.2074258815985681,0.18586732231128691,2.9852265135998874,29.71002908101225,1.1846758558732573,0.28375687926160137,0.21621297985234386,0.014719399132524036,0.18630313972176185,0.00043581741047493683
16,5016,-103.82948798082704,-102.41482636981678,2.82932322202052,True,True,2500,15500,63.835280895233154,2.8950799866824544,29.7287145056701,1.2050508818748102,0.25973916748939097,0.21559096905124397,0.19857927124951885,2.8837675752449754,29.85886839009533,1.1929418150528581,0.26209237306127114,0.20742809921305647,0.13312990187853466,0.19384087941837555,-0.0047383918311433015
17,5017,-145.75935066049732,-144.60119057677286,2.3163201674489073,True,True,3250,10250,46.83803200721741,3.1194512142079485,29.032996695092194,1.1854136151040746,0.29773570428763513,0.22007014706823808,0.20655114610137199,3.027293503064653,29.18243095627219,1.1893431893505522,0.3023040532329665,0.21488585914878636,0.08153753257809038,0.20380102400525169,-0.0027501220961203
18,5018,-116.01986556285976,-116.54668682685852,-1.0536425279975106,True,True,2500,7750,35.803982973098755,2.878235253029033,29.60124063046222,1.1862230010824777,0.27223132838376807,0.1771744022169524,0.2091049084023709,2.8290885252840225,29.9592136187287,1.1664517140307376,0.2755920649209871,0.17693213059047366,0.01208867852264631,0.20661993684195157,-0.0024849715604193245
19,5019,-132.26801916429469,-132.10396525204544,0.3281078244984883,True,True,2250,20000,79.44253182411194,3.0158759194955933,29.373164145765916,1.1401882456686168,0.3112618724761156,0.1772596004492703,0.20666326033732688,3.077509824063445,29.222169531138505,1.1295809027779307,0.3114738639329063,0.17696030018306178,0.009735841483727355,0.20631623526104628,-0.00034702507628059376
