subject,arm,ess,top_share
41,bad,539.5724762772317,0.008070117932537755
42,bad,307.47537402932795,0.01069522664044157
43,bad,2230.3103742668936,0.0023737645993654843
44,bad,578.973214041931,0.0058049692022551025
45,bad,1076.4257140858126,0.0073832673554781545
46,bad,586.771221217708,0.005018659928052297
47,bad,1189.72033321351,0.004385866514985115
48,bad,1827.630228979601,0.00388803200011841
49,bad,1796.1248319959939,0.003995733531381094
50,bad,815.7783283767923,0.004655694673131812
51,bad,1620.5240455156468,0.010474925461836431
52,bad,1786.388294238017,0.0030315496735517666
53,bad,2037.0876817265168,0.0028004974419196024
54,bad,263.4514297071785,0.008030956928220558
55,bad,1371.029639735432,0.002726174325256399
56,bad,1594.071354121446,0.0038772409787345523
57,bad,1234.5354043797445,0.010541815574628792
58,bad,1623.4297808072743,0.004583385571385046
59,bad,1031.6843600511127,0.0030632350676216983
60,bad,663.8565328567707,0.005390300032157783
61,bad,697.2740613508862,0.005271528443400982
62,bad,1641.5881812491775,0.0028427352114257388
63,bad,504.9218981788214,0.007982250118348615
64,bad,1731.77840932228,0.0018503962481982697
65,bad,2058.545217095344,0.007408100777182957
66,bad,1260.3649969822886,0.003931738629674573
67,bad,339.5916105817109,0.017077006321921107
68,bad,1527.8387501839934,0.0020927123776268122
69,bad,1703.6852265153052,0.0031283597862810813
70,bad,388.44829525423614,0.00960491383941866
71,bad,1381.7688569320205,0.0021295369276057826
72,bad,935.078877804788,0.006620990805058959
73,bad,2258.6569362874875,0.001897719443427103
74,bad,830.894758594478,0.004122096769865735
75,bad,1345.7506831281792,0.008141319517023743
76,bad,1585.6646703682245,0.0012382327606283718
77,bad,1173.410152116341,0.00391844445346789
78,bad,1289.8623508221067,0.0015859418233263474
79,bad,1687.9701358712334,0.0026089883915684695
80,bad,2700.5109231192037,0.0019637841868091594
81,bad,1417.0232050357406,0.002160345436128243
82,bad,1330.7416324771618,0.003376668819250475
83,bad,2846.539874544383,0.0015066407529236324
84,bad,232.25887900943803,0.026129021038970475
85,bad,706.8498672756645,0.0027309681405329163
86,bad,850.3754153772009,0.018865584944351758
87,bad,1950.0729670052974,0.0013039828162055079
88,bad,913.8598195550911,0.004900126598734655
89,bad,506.38932253911787,0.007247341691200349
90,bad,2045.1182831289454,0.003502191762119954
91,bad,538.0731598970212,0.005508467800188976
92,bad,1089.9252434245564,0.002699416098005741
93,bad,1167.394277496008,0.0020857883016451133
94,bad,726.7919538698372,0.003990708331557722
95,bad,2055.8373260777753,0.0032313208801594663
96,bad,1993.70016521464,0.004044678114430653
97,bad,1057.1249126171492,0.002712659951478485
98,bad,920.6554359558796,0.0026973140771761788
99,bad,1258.9834032627896,0.0027342720347041864
100,bad,240.05624138619265,0.008908588696685763
101,bad,1973.256850599841,0.0023095885861976074
102,bad,960.2376744497432,0.008934305512195392
103,bad,422.4426353053604,0.014578945707583403
104,bad,249.726399059882,0.023098322006908
105,bad,1918.8691387751644,0.0039046956483762786
106,bad,394.3212434974123,0.009345878653412017
107,bad,1984.5227660471282,0.0033363732333468905
108,bad,215.25635455989092,0.010126696668820889
109,bad,1499.364443223795,0.002125641900835089
110,bad,594.2073827301305,0.008354666504967013
111,bad,1997.3348847868347,0.003322098493898338
112,bad,2465.018898786385,0.0014590685386992798
113,bad,392.8578432566825,0.014014788766608987
114,bad,897.4500951519689,0.017635425212093686
115,bad,1817.7625365406614,0.008692522547949366
116,bad,1803.453768989753,0.0030094006203183884
117,bad,636.0005385173853,0.008213508289683355
118,bad,593.0076504822034,0.005636740053263564
119,bad,990.514187234339,0.0045768795919834
