replicate,seed,posterior,K,param,estimate,truth,rel_bias_pct,marginal_ll,mean_ess,frac_bad,n_steps_run,converged,secs,cpu_secs
0,1000,amortized,8,CL,3.1549666329121915,3.0,5.165554430406383,-157.68694203710675,1706.24122323779,0.0,23250,True,16.019582986831665,17.457406
0,1000,amortized,8,V,31.730023857273608,30.0,5.766746190912026,-157.68694203710675,1706.24122323779,0.0,23250,True,16.019590139389038,17.457406
0,1000,amortized,8,ka,1.1421925200690823,1.2,-4.817289994243135,-157.68694203710675,1706.24122323779,0.0,23250,True,16.019593954086304,17.457406
0,1000,amortized,8,om_CL,0.2951211057946504,0.3,-1.6262980684498645,-157.68694203710675,1706.24122323779,0.0,23250,True,16.019598245620728,17.457406
0,1000,amortized,8,om_V,0.16398838768863502,0.2,-18.005806155682492,-157.68694203710675,1706.24122323779,0.0,23250,True,16.019602298736572,17.457406
0,1000,amortized,8,om_ka,0.4158953804703193,0.4,3.9738451175798244,-157.68694203710675,1706.24122323779,0.0,23250,True,16.019604921340942,17.457406
0,1000,amortized,8,sigma,0.19438865239887204,0.2,-2.8056738005639845,-157.68694203710675,1706.24122323779,0.0,23250,True,16.019609212875366,17.457406
0,1000,amortized,64,CL,2.9921983645104064,3.0,-0.2600545163197854,-157.12131744922223,1815.6645126792214,0.0,4750,True,9.417869091033936,12.559116000000003
0,1000,amortized,64,V,31.57431922416782,30.0,5.247730747226066,-157.12131744922223,1815.6645126792214,0.0,4750,True,9.41787600517273,12.559116000000003
0,1000,amortized,64,ka,1.2001390667656817,1.2,0.01158889714014677,-157.12131744922223,1815.6645126792214,0.0,4750,True,9.417880773544312,12.559116000000003
0,1000,amortized,64,om_CL,0.3004410088096551,0.3,0.14700293655169525,-157.12131744922223,1815.6645126792214,0.0,4750,True,9.417885065078735,12.559116000000003
0,1000,amortized,64,om_V,0.17942192335821194,0.2,-10.289038320894033,-157.12131744922223,1815.6645126792214,0.0,4750,True,9.417887926101685,12.559116000000003
0,1000,amortized,64,om_ka,0.39966790211432285,0.4,-0.08302447141929348,-157.12131744922223,1815.6645126792214,0.0,4750,True,9.41789197921753,12.559116000000003
0,1000,amortized,64,sigma,0.19250529518124118,0.2,-3.7473524093794146,-157.12131744922223,1815.6645126792214,0.0,4750,True,9.417896032333374,12.559116000000003
1,1001,free,1,CL,3.1112372076203743,3.0,3.7079069206791417,-210.4679323885489,3545.4735386231146,0.0,20250,True,6.9338319301605225,6.920077000000006
1,1001,free,1,V,29.073748606169136,30.0,-3.087504646102879,-210.4679323885489,3545.4735386231146,0.0,20250,True,6.9338390827178955,6.920077000000006
1,1001,free,1,ka,1.125539622072527,1.2,-6.205031493956089,-210.4679323885489,3545.4735386231146,0.0,20250,True,6.933844089508057,6.920077000000006
1,1001,free,1,om_CL,0.3191144830350645,0.3,6.371494345021508,-210.4679323885489,3545.4735386231146,0.0,20250,True,6.933848142623901,6.920077000000006
1,1001,free,1,om_V,0.019037802249874402,0.2,-90.4810988750628,-210.4679323885489,3545.4735386231146,0.0,20250,True,6.933851003646851,6.920077000000006
1,1001,free,1,om_ka,0.533479040966799,0.4,33.369760241699744,-210.4679323885489,3545.4735386231146,0.0,20250,True,6.933855056762695,6.920077000000006
1,1001,free,1,sigma,0.22410733361128762,0.2,12.053666805643806,-210.4679323885489,3545.4735386231146,0.0,20250,True,6.933858156204224,6.920077000000006
1,1001,free,8,CL,3.181150010933527,3.0,6.038333697784236,-191.8266707276855,1837.4608016541474,0.0,10000,True,5.0485570430755615,5.423390999999995
1,1001,free,8,V,29.701814279894787,30.0,-0.9939524003507098,-191.8266707276855,1837.4608016541474,0.0,10000,True,5.048564910888672,5.423390999999995
1,1001,free,8,ka,1.1491966866666452,1.2,-4.2336094444462296,-191.8266707276855,1837.4608016541474,0.0,10000,True,5.048568964004517,5.423390999999995
1,1001,free,8,om_CL,0.33224952158292204,0.3,10.749840527640682,-191.8266707276855,1837.4608016541474,0.0,10000,True,5.048573970794678,5.423390999999995
1,1001,free,8,om_V,0.13940599077698473,0.2,-30.29700461150764,-191.8266707276855,1837.4608016541474,0.0,10000,True,5.04857873916626,5.423390999999995
1,1001,free,8,om_ka,0.45822272171753725,0.4,14.555680429384307,-191.8266707276855,1837.4608016541474,0.0,10000,True,5.048583030700684,5.423390999999995
1,1001,free,8,sigma,0.201081544474839,0.2,0.5407722374194956,-191.8266707276855,1837.4608016541474,0.0,10000,True,5.048586130142212,5.423390999999995
1,1001,free,64,CL,3.0519854217652074,3.0,1.7328473921735792,-190.74637167321671,1749.1054361295276,0.0,2500,True,4.5651538372039795,6.112060999999997
1,1001,free,64,V,29.748692037550484,30.0,-0.8376932081650542,-190.74637167321671,1749.1054361295276,0.0,2500,True,4.56516695022583,6.112060999999997
1,1001,free,64,ka,1.1613694558359529,1.2,-3.2192120136705915,-190.74637167321671,1749.1054361295276,0.0,2500,True,4.565171957015991,6.112060999999997
1,1001,free,64,om_CL,0.3285863096107564,0.3,9.528769870252141,-190.74637167321671,1749.1054361295276,0.0,2500,True,4.565175771713257,6.112060999999997
1,1001,free,64,om_V,0.16865875312901935,0.2,-15.67062343549033,-190.74637167321671,1749.1054361295276,0.0,2500,True,4.565178871154785,6.112060999999997
1,1001,free,64,om_ka,0.45726602212496925,0.4,14.316505531242306,-190.74637167321671,1749.1054361295276,0.0,2500,True,4.56518292427063,6.112060999999997
1,1001,free,64,sigma,0.19927842872295057,0.2,-0.36078563852472156,-190.74637167321671,1749.1054361295276,0.0,2500,True,4.565186023712158,6.112060999999997
1,1001,amortized,1,CL,3.077696823606731,3.0,2.58989412022436,-210.71412199132962,3539.102188601787,0.0,19000,True,9.855324029922485,10.387079
1,1001,amortized,1,V,29.0223251903281,30.0,-3.2589160322396657,-210.71412199132962,3539.102188601787,0.0,19000,True,9.855331182479858,10.387079
1,1001,amortized,1,ka,1.1381968561356786,1.2,-5.15026198869345,-210.71412199132962,3539.102188601787,0.0,19000,True,9.85533595085144,10.387079
1,1001,amortized,1,om_CL,0.3161142721371873,0.3,5.371424045729101,-210.71412199132962,3539.102188601787,0.0,19000,True,9.855340003967285,10.387079
