scenario,replicate,seed,posterior,family,K,param,estimate,truth,rel_bias_pct,marginal_ll,mean_ess,n_steps_run,converged,secs,cpu_secs
dense,2,3002,free,gaussian,8,V,29.80511232125052,30.0,-0.6496255958316036,-193.95170287939504,1584.9211258222022,7500,True,3.9071531295776367,3.8739209999999957
dense,2,3002,free,gaussian,8,ka,1.2044721907168463,1.2,0.3726825597371956,-193.95170287939504,1584.9211258222022,7500,True,3.9071531295776367,3.8739209999999957
dense,2,3002,free,gaussian,8,om_CL,0.3128223906545104,0.3,4.274130218170136,-193.95170287939504,1584.9211258222022,7500,True,3.9071531295776367,3.8739209999999957
dense,2,3002,free,gaussian,8,om_V,0.21954759880168045,0.2,9.773799400840222,-193.95170287939504,1584.9211258222022,7500,True,3.9071531295776367,3.8739209999999957
dense,2,3002,free,gaussian,8,om_ka,0.39598074463643357,0.4,-1.0048138408916134,-193.95170287939504,1584.9211258222022,7500,True,3.9071531295776367,3.8739209999999957
dense,2,3002,free,gaussian,8,sigma,0.19795752138410927,0.2,-1.0212393079453708,-193.95170287939504,1584.9211258222022,7500,True,3.9071531295776367,3.8739209999999957
dense,2,3002,free,gaussian,64,CL,2.909253830686656,3.0,-3.0248723104448003,-193.59771028707348,1781.7628101495711,10250,True,17.890056133270264,17.661104999999992
dense,2,3002,free,gaussian,64,V,30.767196606092366,30.0,2.557322020307886,-193.59771028707348,1781.7628101495711,10250,True,17.890056133270264,17.661104999999992
dense,2,3002,free,gaussian,64,ka,1.2131784575204916,1.2,1.0982047933743022,-193.59771028707348,1781.7628101495711,10250,True,17.890056133270264,17.661104999999992
dense,2,3002,free,gaussian,64,om_CL,0.31428689630528506,0.3,4.762298768428356,-193.59771028707348,1781.7628101495711,10250,True,17.890056133270264,17.661104999999992
dense,2,3002,free,gaussian,64,om_V,0.228614539731532,0.2,14.307269865766,-193.59771028707348,1781.7628101495711,10250,True,17.890056133270264,17.661104999999992
