replicate,seed,ll_reduced,ll_full,dofv,converged_reduced,converged_full,n_steps_reduced,n_steps_full,secs,CL_reduced,V_reduced,ka_reduced,om_CL_reduced,om_V_reduced,sigma_reduced,CL_full,V_full,ka_full,om_CL_full,om_V_full,om_ka_full,sigma_full,sigma_diff
17,5017,-144.98669053903438,-146.60891042295253,-3.2444397678362975,True,True,5500,25000,136.684406042099,3.007002678787958,29.62443811207516,1.1860058054974412,0.29801791119289855,0.21677554761351758,0.20505268942575747,3.0814234655247743,28.56904595321749,1.2180023269688787,0.2943411649301101,0.21984910858533485,0.05395267958311233,0.20393195066157505,-0.0011207387641824218
18,5018,-116.13641882443673,-116.08835588972883,0.09612586941580048,True,False,12750,25000,160.99379014968872,2.8214316992015354,29.740305943493848,1.1814725286560985,0.2764679041993399,0.17808730429980427,0.20800314535166836,2.844026257891377,29.36394012556882,1.1777081867981336,0.2726831011359188,0.17955076184580868,0.04158803648742638,0.20785282650933956,-0.00015031884232880044
19,5019,-132.47775249781915,-133.36719220063574,-1.7788794056331767,True,False,18750,25000,182.74895310401917,3.0652781915424288,29.46563479659687,1.1350089443272497,0.3119476238408807,0.17549757262565824,0.2065623428192997,3.020201373396616,28.707946701713006,1.1315796964821976,0.30717308006296634,0.17454234732891177,0.08068408398703951,0.20681099449060042,0.00024865167130072585
20,5020,-106.6354742186665,-108.20683659445469,-3.1427247515763668,True,True,10000,24750,149.3499481678009,3.207543698490385,30.42857325454728,1.2392420215586504,0.30818861283404136,0.19908839852901278,0.19083055329057225,3.332187925330177,29.39420672928388,1.2604999435148545,0.30857280358675115,0.1963702947672403,0.02574025129067248,0.1908149700648332,-1.558322573905202e-05
21,5021,-137.2881756641515,-136.67694423697765,1.2224628543477252,True,True,2750,5250,35.01744103431702,2.891766899284308,30.501670147937656,1.1832104679597648,0.34980780995492883,0.1909878364322202,0.2023713702023276,2.9421099345720423,29.947272894001728,1.1996271385996,0.3517246604652311,0.18524293196502473,0.10044234617892632,0.20090840408570299,-0.0014629661166246088
22,5022,-145.58120109094045,-145.26453999789254,0.6333221860958247,True,True,2500,13250,67.98787879943848,3.0574116002959513,28.67745633495815,1.246423496103079,0.30336638577456765,0.1926903645599621,0.20891334389229174,3.0439574612049194,28.645085786485506,1.2408218185978612,0.30238244979263534,0.18732119950013112,0.03570325633712437,0.20830768429134985,-0.000605659600941888
23,5023,-106.35084189202585,-105.74834007184717,1.2050036403573756,True,True,19750,19750,161.77667093276978,2.969713218058926,30.863422537077163,1.26659549322146,0.31183080586678497,0.1656333094109837,0.20188257164879603,2.9103534788854084,30.605927497389647,1.2643649150320002,0.310396538117228,0.16707198447552682,0.09621467682646098,0.1976208373919589,-0.004261734256837124
24,5024,-91.07231743297393,-90.91511172743247,0.31441141108291504,True,True,15250,19250,143.32600092887878,2.8107194703242673,29.384194768137743,1.2040505992086314,0.3250535195987376,0.1848557858734834,0.18915339297695424,2.8764035306405367,29.42520658340443,1.187489197703575,0.3230425784460534,0.1765006528513779,0.03685536410647735,0.19068696966260248,0.0015335766856482413
25,5025,-134.07411773158742,-133.83354932904606,0.4811368050827127,True,True,13750,15000,118.0628411769867,2.964252536367722,29.926692040073032,1.199143498140462,0.29946456814797606,0.18559226549586474,0.20790129273164523,2.9489852545545143,29.881503156432355,1.1775672938463644,0.30243402862262947,0.19131328580544046,0.07485071263560096,0.20595531253377589,-0.0019459801978693458
26,5026,-124.5173389349037,-124.23842736815196,0.55782313350349,True,True,18000,23500,167.60926699638367,3.060792247151151,30.28031886775931,1.1349308003572045,0.27035698069557995,0.1976165626415522,0.20457143597450445,3.0577167465584374,29.84255505684476,1.119736111016003,0.2714002499822779,0.1977370600304625,0.032673607122852985,0.20187030896518804,-0.0027011270093164064
27,5027,-119.0962760539551,-119.08324415476906,0.026063798372064184,True,False,21500,25000,180.23502898216248,2.9356850761577733,30.25128158927573,1.1870264659991605,0.3103246193148276,0.18850248420228724,0.20178390993307566,2.8939136996736874,30.103543347243175,1.1954479568506275,0.3125222497284428,0.18584392082446963,0.08959859297393681,0.1993279128236173,-0.0024559971094583466
28,5028,-44.717201349828684,-44.75333014542382,-0.0722575911902652,True,False,16750,25000,164.14224696159363,2.967012640648112,31.177286858185624,1.2255714659095984,0.22072542494026037,0.16924968338482407,0.19049319420543542,2.9875690569386513,30.793291504540555,1.225665392535182,0.2186992536945312,0.16883048166040585,0.02410874801157699,0.19142664720042143,0.0009334529949860115
29,5029,-135.24879544471202,-135.34492283162496,-0.19225477382587997,True,True,6000,22250,120.10212874412537,3.0645374707044075,30.085587286843662,1.234060294911396,0.2998979189664164,0.18440096047417245,0.20743358318407615,3.0463566678486056,29.764258582007834,1.2286407117899802,0.30080528454362343,0.1849199667280673,0.04042538787969219,0.2075575884558594,0.00012400527178324516
30,5030,-143.6512470222862,-141.7437548996061,3.814984245360222,True,True,2500,16500,82.6838710308075,3.167574293497148,30.718349618281888,1.163896296370491,0.3070976989297309,0.2185220765157649,0.2041394199730898,3.1192916039544882,30.048243838542493,1.1711520211767896,0.30111161112581486,0.21269788105782253,0.10835482546726535,0.20042710208802886,-0.003712317885060934
31,5031,-134.965321509817,-133.3942650117959,3.142112996042158,True,True,20000,23750,161.39001893997192,3.028795349508984,29.608432789334802,1.1608380204770021,0.28910836254215266,0.1894326447107657,0.2079002571787263,2.897235490273794,29.129614975059702,1.1760849467364924,0.3016618458026927,0.1825112313386187,0.14540730664477367,0.20271298612978206,-0.005187271048944231
32,5032,-91.39517716047453,-92.27735313130643,-1.76435194166379,True,False,23500,25000,174.03632616996765,2.899969399366867,29.87645477437274,1.2367576478791753,0.30358188089423493,0.18406578449187827,0.1915546172942186,2.9496082409450852,29.338431805818306,1.255799258836542,0.298836019496648,0.18356408915524125,0.05602981508905884,0.19271965587887524,0.0011650385846566358
33,5033,-119.39010153828873,-119.24598067369296,0.28824172919155444,True,False,17000,25000,148.80102825164795,2.904204615163867,30.748218451733887,1.18146687227839,0.300152863948345,0.19485330427752592,0.20266684993677764,2.8748712561578165,30.41854044535792,1.1912878140383774,0.3094192194929042,0.1970198050986239,0.05425408961738119,0.20304815751431052,0.00038130757753288
